State Name,FINGER MILLET YIELD (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),AVERAGE RAINFALL (Millimeters),AVERAGE TEMPERATURE (Centigrate),AVERAGE PERCIPITATION (Millimeters)
Chhattisgarh,0.0,2.31,5.79,0.25,275.075,27.09333334,207.37875
Chhattisgarh,0.0,1.83,3.61,0.35,162.5,27.09333334,207.37875
Chhattisgarh,0.0,1.99,6.49,0.51,328.475,27.09333334,207.37875
Chhattisgarh,0.0,2.8,7.24,0.41,255.15,27.09333334,207.37875
Chhattisgarh,0.0,2.38,6.45,0.4,184.475,27.09333334,207.37875
Chhattisgarh,0.0,3.38,8.61,0.56,277.325,27.09333334,207.37875
Chhattisgarh,0.0,5.37,12.99,0.73,271.9,27.09333334,207.37875
Chhattisgarh,0.0,8.92,16.08,0.92,242.425,27.09333334,207.37875
Chhattisgarh,0.0,8.46,17.51,1.28,256.025,27.09333334,207.37875
Chhattisgarh,0.0,7.52,17.03,1.03,225.575,27.09333334,207.37875
Chhattisgarh,0.0,10.17,24.53,1.72,303.45,27.09333334,207.37875
Chhattisgarh,0.0,10.32,27.79,2.33,214.7,27.09333334,207.37875
Chhattisgarh,0.0,5.9,17.95,1.37,292.375,27.09333334,207.37875
Chhattisgarh,0.0,7.42,19.67,2.06,227.05,27.09333334,207.37875
Chhattisgarh,0.0,8.53,22.68,2.56,184.325,27.09333334,207.37875
Chhattisgarh,0.0,5.52,23.75,1.01,252.9,27.09333334,207.37875
Chhattisgarh,0.0,6.62,28.91,0.91,396.4,27.09333334,207.37875
Chhattisgarh,0.0,7.01,30.59,0.97,244.525,27.09333334,207.37875
Chhattisgarh,0.0,6.71,29.28,0.93,298.7,27.09333334,207.37875
Chhattisgarh,0.0,9.45,34.48,2.0,268.2,27.09333334,207.37875
Chhattisgarh,0.0,10.09,40.85,1.43,251.75,27.09333334,207.37875
Chhattisgarh,0.0,12.82,42.07,3.14,249.4,27.09333334,207.37875
Chhattisgarh,0.0,14.81,39.16,2.93,259.756383,27.09333334,207.37875
Chhattisgarh,0.0,16.82,48.54,3.5,259.756383,27.09333334,207.37875
Chhattisgarh,0.0,16.96,46.82,4.0,211.9,27.09333334,207.37875
Chhattisgarh,0.0,11.73,48.86,4.08,259.756383,27.09333334,207.37875
Chhattisgarh,0.0,20.27,61.98,6.59,251.55,27.09333334,207.37875
Chhattisgarh,0.0,14.42,55.38,5.49,306.45,27.09333334,207.37875
Chhattisgarh,0.0,17.59,59.38,6.58,217.625,27.09333334,207.37875
Chhattisgarh,0.0,14.95,56.86,4.99,282.925,27.09333334,207.37875
Chhattisgarh,0.0,19.58,50.76,7.25,243.6,27.09333334,207.37875
Chhattisgarh,0.0,26.12,60.68,7.52,180.6,27.09333334,207.37875
